Tag ID,Tag Time,Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract
0,2026-05-04 11:59:36,0.0,10.0,4.0,No
0,2026-05-04 12:00:17,3.0,10.0,4.0,No
0,2026-05-04 12:07:26,3.0,10.0,4.0,No
0,2026-05-04 12:11:42,1.0,10.0,4.0,No
0,2026-05-04 12:12:35,3.0,10.0,4.0,No
0,2026-05-04 12:12:55,4.0,10.0,3.0,No
0,2026-05-04 12:13:18,3.0,10.0,2.0,No
0,2026-05-04 12:13:33,0,0,0,Yes
0,2026-05-04 12:13:43,4.0,10.0,3.0,No
0,2026-05-04 12:14:04,4.0,10.0,3.0,No
0,2026-05-04 12:15:27,2.0,10.0,3.0,No
0,2026-05-04 12:15:42,0,0,0,Yes
0,2026-05-04 12:16:28,3.0,10.0,3.0,No
0,2026-05-04 12:16:56,3.0,10.0,4.0,No
0,2026-05-04 12:19:00,1.0,10.0,4.0,No
0,2026-05-04 12:20:11,3.0,10.0,1.0,No
0,2026-05-04 12:20:25,0,0,0,Yes
0,2026-05-04 12:21:35,2.0,10.0,0.0,No
0,2026-05-04 12:22:10,3.0,10.0,3.0,No
0,2026-05-04 12:22:49,4.0,10.0,3.0,No
0,2026-05-04 12:26:36,2.0,10.0,4.0,No
0,2026-05-04 12:27:42,4.0,10.0,4.0,No
0,2026-05-04 12:28:09,4.0,10.0,4.0,No
0,2026-05-04 12:28:27,4.0,10.0,4.0,No
0,2026-05-04 12:29:00,4.0,10.0,4.0,No
0,2026-05-04 12:29:24,4.0,10.0,3.0,No
0,2026-05-04 12:30:25,3.0,10.0,4.0,No
0,2026-05-04 12:30:48,3.0,11.0,3.0,No
0,2026-05-04 12:31:18,4.0,10.0,3.0,No
0,2026-05-04 12:32:06,4.0,10.0,3.0,No
0,2026-05-04 12:32:41,4.0,10.0,3.0,No
0,2026-05-04 12:33:18,4.0,10.0,3.0,No
0,2026-05-04 12:34:54,4.0,10.0,3.0,No
0,2026-05-04 12:36:02,2.0,10.0,4.0,No
0,2026-05-04 12:36:37,4.0,10.0,3.0,No
0,2026-05-04 12:37:14,4.0,10.0,4.0,No
0,2026-05-04 12:37:42,3.0,10.0,4.0,No
0,2026-05-04 12:38:52,3.0,10.0,4.0,No
0,2026-05-04 12:39:36,4.0,10.0,3.0,No
0,2026-05-04 12:40:02,3.0,10.0,2.0,No
0,2026-05-04 12:40:17,0,0,0,Yes
0,2026-05-04 12:40:35,4.0,10.0,4.0,No
0,2026-05-04 12:41:17,3.0,10.0,4.0,No
0,2026-05-04 12:41:37,4.0,10.0,4.0,No
0,2026-05-04 12:42:07,4.0,10.0,0.0,No
0,2026-05-04 12:42:21,0,0,0,Yes
0,2026-05-04 12:42:44,4.0,10.0,3.0,No
0,2026-05-04 12:43:58,4.0,10.0,3.0,No
0,2026-05-04 12:44:21,3.0,10.0,4.0,No
0,2026-05-04 12:48:25,1.0,10.0,4.0,No
0,2026-05-04 12:49:12,4.0,10.0,3.0,No
0,2026-05-04 12:49:50,4.0,10.0,4.0,No
0,2026-05-04 12:51:43,1.0,10.0,4.0,No
0,2026-05-04 12:52:02,4.0,10.0,4.0,No
0,2026-05-04 12:54:17,2.0,10.0,4.0,No
0,2026-05-04 12:54:52,4.0,10.0,4.0,No
