CSV Row,Start Timestamp,Duration (s),Avg Intensity,Video Start (s),Clip Duration (s),Output File,Status
3,2026-05-04 12:16:40,8.0,22.39,1176.0,10.0,possible_feeding_clips\possible_feed_0001_121640_8.0s.mp4,Saved
39,2026-05-04 12:59:58,6.0,26.02,3774.0,8.0,possible_feeding_clips\possible_feed_0002_125958_6.0s.mp4,Saved
51,2026-05-04 13:10:59,5.0,23.36,4435.0,7.0,possible_feeding_clips\possible_feed_0003_131059_5.0s.mp4,Saved
68,2026-05-04 13:33:06,20.0,24.12,5762.0,22.0,possible_feeding_clips\possible_feed_0004_133306_20.0s.mp4,Saved
73,2026-05-04 13:43:09,25.0,26.44,6365.0,27.0,possible_feeding_clips\possible_feed_0005_134309_25.0s.mp4,Saved
77,2026-05-04 14:04:47,8.0,24.48,7663.0,10.0,possible_feeding_clips\possible_feed_0006_140447_8.0s.mp4,Saved
83,2026-05-04 14:12:41,5.0,22.97,8137.0,7.0,possible_feeding_clips\possible_feed_0007_141241_5.0s.mp4,Saved
119,2026-05-04 15:00:16,6.0,24.89,10992.0,8.0,possible_feeding_clips\possible_feed_0008_150016_6.0s.mp4,Saved
121,2026-05-04 15:01:36,5.0,23.33,11072.0,7.0,possible_feeding_clips\possible_feed_0009_150136_5.0s.mp4,Saved
143,2026-05-04 15:20:43,7.0,20.58,12219.0,9.0,possible_feeding_clips\possible_feed_0010_152043_7.0s.mp4,Saved
146,2026-05-04 15:28:11,189.0,22.01,12667.0,191.0,possible_feeding_clips\possible_feed_0011_152811_189.0s.mp4,Saved
147,2026-05-04 15:38:44,6.0,20.52,13300.0,8.0,possible_feeding_clips\possible_feed_0012_153844_6.0s.mp4,Saved
149,2026-05-04 15:40:58,7.0,24.21,13434.0,9.0,possible_feeding_clips\possible_feed_0013_154058_7.0s.mp4,Saved
151,2026-05-04 15:41:49,6.0,25.2,13485.0,8.0,possible_feeding_clips\possible_feed_0014_154149_6.0s.mp4,Saved
152,2026-05-04 15:42:47,6.0,22.43,13543.0,8.0,possible_feeding_clips\possible_feed_0015_154247_6.0s.mp4,Saved
153,2026-05-04 16:31:12,6.0,23.1,16448.0,8.0,possible_feeding_clips\possible_feed_0016_163112_6.0s.mp4,Saved
154,2026-05-04 16:37:53,6.0,23.54,16849.0,8.0,possible_feeding_clips\possible_feed_0017_163753_6.0s.mp4,Saved
169,2026-05-04 17:10:49,5.0,20.0,18825.0,7.0,possible_feeding_clips\possible_feed_0018_171049_5.0s.mp4,Saved
173,2026-05-04 17:11:15,15.0,20.0,18851.0,17.0,possible_feeding_clips\possible_feed_0019_171115_15.0s.mp4,Saved
179,2026-05-04 17:11:50,5.0,20.0,18886.0,7.0,possible_feeding_clips\possible_feed_0020_171150_5.0s.mp4,Saved
184,2026-05-04 17:12:21,5.0,20.0,18917.0,7.0,possible_feeding_clips\possible_feed_0021_171221_5.0s.mp4,Saved
185,2026-05-04 17:12:28,8.0,20.09,18924.0,10.0,possible_feeding_clips\possible_feed_0022_171228_8.0s.mp4,Saved
190,2026-05-04 17:12:49,6.0,20.07,18945.0,8.0,possible_feeding_clips\possible_feed_0023_171249_6.0s.mp4,Saved
192,2026-05-04 17:13:03,17.0,20.06,18959.0,19.0,possible_feeding_clips\possible_feed_0024_171303_17.0s.mp4,Saved
196,2026-05-04 17:13:31,26.0,20.05,18987.0,28.0,possible_feeding_clips\possible_feed_0025_171331_26.0s.mp4,Saved
197,2026-05-04 17:14:00,14.0,20.11,19016.0,16.0,possible_feeding_clips\possible_feed_0026_171400_14.0s.mp4,Saved
198,2026-05-04 17:14:22,34.0,21.71,19038.0,36.0,possible_feeding_clips\possible_feed_0027_171422_34.0s.mp4,Saved
205,2026-05-04 17:33:20,293.0,20.08,20176.0,295.0,possible_feeding_clips\possible_feed_0028_173320_293.0s.mp4,Saved
206,2026-05-04 17:39:10,27.0,22.42,20526.0,29.0,possible_feeding_clips\possible_feed_0029_173910_27.0s.mp4,Saved
207,2026-05-04 17:56:50,6.0,20.71,21586.0,8.0,possible_feeding_clips\possible_feed_0030_175650_6.0s.mp4,Saved
209,2026-05-04 18:04:32,13.0,21.37,22048.0,15.0,possible_feeding_clips\possible_feed_0031_180432_13.0s.mp4,Saved
211,2026-05-04 18:06:16,15.0,23.79,22152.0,17.0,possible_feeding_clips\possible_feed_0032_180616_15.0s.mp4,Saved
213,2026-05-04 18:36:38,6.0,20.22,23974.0,8.0,possible_feeding_clips\possible_feed_0033_183638_6.0s.mp4,Saved
214,2026-05-04 18:37:40,12.0,20.47,24036.0,14.0,possible_feeding_clips\possible_feed_0034_183740_12.0s.mp4,Saved
215,2026-05-04 18:39:01,10.0,21.08,24117.0,12.0,possible_feeding_clips\possible_feed_0035_183901_10.0s.mp4,Saved
216,2026-05-04 18:57:33,11.0,20.9,25229.0,13.0,possible_feeding_clips\possible_feed_0036_185733_11.0s.mp4,Saved
217,2026-05-04 19:10:35,7.0,20.47,26011.0,9.0,possible_feeding_clips\possible_feed_0037_191035_7.0s.mp4,Saved
219,2026-05-04 19:47:05,415.0,26.43,28201.0,417.0,possible_feeding_clips\possible_feed_0038_194705_415.0s.mp4,Saved
220,2026-05-04 19:56:20,7831.0,32.5,28756.0,7833.0,possible_feeding_clips\possible_feed_0039_195620_7831.0s.mp4,Saved
