Tag ID,Tag Time,Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract
1,2026-04-10 17:18:34,2.0,10.0,1.0,No
1,2026-04-10 17:33:45,2.0,10.0,2.0,No
1,2026-04-10 17:35:54,1.0,10.0,2.0,No
1,2026-04-10 17:39:40,2.0,10.0,2.0,No
1,2026-04-10 17:50:12,2.0,10.0,1.0,No
1,2026-04-10 17:52:25,1.0,10.0,1.0,No
1,2026-04-10 17:52:37,0,0,0,Yes
1,2026-04-10 17:53:09,2.0,10.0,1.0,No
1,2026-04-10 17:53:23,2.0,10.0,2.0,No
1,2026-04-10 17:53:37,0,0,0,Yes
1,2026-04-10 17:55:49,2.0,10.0,2.0,No
1,2026-04-10 17:56:57,2.0,10.0,0.0,No
1,2026-04-10 17:57:09,0,0,0,Yes
1,2026-04-10 17:57:15,2.0,10.0,1.0,No
1,2026-04-10 17:57:57,1.0,10.0,2.0,No
1,2026-04-10 17:58:18,2.0,10.0,2.0,No
1,2026-04-10 17:58:45,2.0,10.0,2.0,No
1,2026-04-10 17:59:09,2.0,10.0,2.0,No
1,2026-04-10 17:59:23,2.0,10.0,1.0,No
1,2026-04-10 18:03:04,2.0,10.0,2.0,No
1,2026-04-10 18:13:27,2.0,10.0,2.0,No
1,2026-04-10 18:14:22,1.0,10.0,2.0,No
1,2026-04-10 19:45:21,2.0,10.0,2.0,No
1,2026-04-10 19:48:23,2.0,10.0,2.0,No
1,2026-04-10 20:44:48,1.0,10.0,2.0,No
1,2026-04-10 20:46:09,1.0,10.0,2.0,No
