Tag ID,Tag Time,Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract
37,2026-03-23 18:31:23,2.0,10.0,2.0,No
37,2026-03-23 18:38:58,2.0,10.0,2.0,No
37,2026-03-23 18:39:12,2.0,10.0,2.0,No
37,2026-03-23 18:39:29,2.0,10.0,2.0,No
37,2026-03-23 18:40:31,2.0,10.0,0.0,No
37,2026-03-23 18:40:43,0,0,0,Yes
37,2026-03-23 18:41:57,2.0,10.0,2.0,No
37,2026-03-23 18:42:28,2.0,10.0,2.0,No
37,2026-03-23 18:45:20,2.0,10.0,2.0,No
37,2026-03-23 18:45:35,2.0,10.0,2.0,No
37,2026-03-23 18:45:49,3.0,10.0,2.0,No
37,2026-03-23 18:46:43,2.0,10.0,2.0,No
37,2026-03-23 18:47:15,2.0,10.0,2.0,No
37,2026-03-23 18:48:17,2.0,10.0,2.0,No
37,2026-03-23 18:50:43,2.0,10.0,2.0,No
37,2026-03-23 18:51:21,2.0,10.0,0.0,No
37,2026-03-23 18:51:33,0,0,0,Yes
37,2026-03-23 18:51:40,2.0,10.0,2.0,No
37,2026-03-23 18:51:54,2.0,10.0,2.0,No
37,2026-03-23 18:53:22,2.0,10.0,2.0,No
37,2026-03-23 18:56:24,2.0,10.0,2.0,No
37,2026-03-23 18:57:00,2.0,10.0,2.0,No
37,2026-03-23 18:57:47,2.0,10.0,2.0,No
37,2026-03-23 19:04:26,2.0,10.0,2.0,No
37,2026-03-23 19:05:08,3.0,10.0,2.0,No
37,2026-03-23 19:07:37,3.0,10.0,2.0,No
37,2026-03-23 19:08:29,0,0,0,No
37,2026-03-23 19:08:52,0,0,0,No
37,2026-03-23 19:09:03,0,0,2.0,No
37,2026-03-23 19:09:25,2.0,10.0,2.0,No
37,2026-03-23 19:09:50,2.0,10.0,2.0,No
37,2026-03-23 19:35:26,2.0,10.0,2.0,No
37,2026-03-23 19:36:14,2.0,10.0,2.0,No
37,2026-03-23 19:36:28,3.0,10.0,1.0,No
37,2026-03-23 19:36:50,2.0,10.0,2.0,No
37,2026-03-23 19:37:34,2.0,10.0,2.0,No
37,2026-03-23 19:37:49,2.0,10.0,2.0,No
37,2026-03-23 19:38:12,3.0,10.0,2.0,No
37,2026-03-23 19:38:33,2.0,10.0,2.0,No
37,2026-03-23 19:38:49,2.0,10.0,2.0,No
37,2026-03-23 19:39:03,2.0,10.0,2.0,No
37,2026-03-23 19:39:24,2.0,10.0,2.0,No
37,2026-03-23 19:40:10,2.0,10.0,2.0,No
37,2026-03-23 19:58:29,3.0,10.0,2.0,No
37,2026-03-23 20:04:38,2.0,10.0,2.0,No
37,2026-03-23 20:04:59,2.0,10.0,2.0,No
37,2026-03-23 20:22:56,2.0,10.0,2.0,No
37,2026-03-23 20:24:36,2.0,10.0,2.0,No
37,2026-03-23 20:24:53,3.0,10.0,2.0,No
37,2026-03-23 20:25:17,2.0,10.0,2.0,No
37,2026-03-23 22:20:43,2.0,10.0,1.0,No
37,2026-03-23 22:20:56,0,0,0,Yes
37,2026-03-23 22:21:02,2.0,10.0,2.0,No
37,2026-03-23 22:21:42,2.0,10.0,2.0,No
37,2026-03-23 22:22:34,2.0,10.0,2.0,No
37,2026-03-23 22:23:23,2.0,10.0,2.0,No
37,2026-03-23 22:23:48,2.0,10.0,2.0,No
37,2026-03-23 22:29:16,2.0,10.0,2.0,No
37,2026-03-24 11:44:52,2.0,10.0,2.0,No
37,2026-03-24 11:54:29,2.0,10.0,1.0,No
37,2026-03-24 11:54:42,0,0,0,Yes
37,2026-03-24 11:54:43,3.0,10.0,1.0,No
37,2026-03-24 11:54:57,0,0,0,Yes
37,2026-03-24 11:55:35,2.0,10.0,2.0,No
37,2026-03-24 11:56:04,3.0,10.0,2.0,No
37,2026-03-24 11:56:46,2.0,10.0,2.0,No
37,2026-03-24 11:57:07,2.0,10.0,1.0,No
37,2026-03-24 11:57:20,0,0,0,Yes
37,2026-03-24 11:58:55,2.0,10.0,2.0,No
37,2026-03-24 11:59:16,2.0,10.0,1.0,No
37,2026-03-24 11:59:29,0,0,0,Yes
37,2026-03-24 11:59:51,2.0,10.0,2.0,No
37,2026-03-24 12:00:34,2.0,10.0,2.0,No
37,2026-03-24 12:00:55,2.0,10.0,2.0,No
37,2026-03-24 12:01:32,2.0,11.0,2.0,No
37,2026-03-24 12:01:52,3.0,10.0,2.0,No
37,2026-03-24 13:04:06,2.0,10.0,0.0,No
37,2026-03-24 13:04:18,0,0,0,Yes
37,2026-03-24 13:04:35,2.0,10.0,2.0,No
37,2026-03-24 13:04:56,2.0,10.0,2.0,No
37,2026-03-24 13:09:10,2.0,10.0,2.0,No
37,2026-03-24 13:09:39,3.0,10.0,2.0,No
37,2026-03-24 13:10:58,2.0,10.0,2.0,No
37,2026-03-24 13:13:03,2.0,10.0,2.0,No
37,2026-03-24 13:17:00,3.0,10.0,2.0,No
37,2026-03-24 13:17:30,2.0,10.0,2.0,No
37,2026-03-24 13:21:23,2.0,10.0,2.0,No
37,2026-03-24 13:21:49,2.0,10.0,2.0,No
37,2026-03-24 14:38:52,2.0,10.0,2.0,No
37,2026-03-24 14:42:29,2.0,10.0,2.0,No
