Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
1,0,2026-04-27 18:07:37,20.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0001.mp4,Saved
2,0,2026-04-27 20:01:16,6839.5,13.0,2.0,10.0,0.0,No,possible_feed_clips\bee_0\bee_0_feed_0002.mp4,Saved
3,0,2026-04-27 20:14:55,7658.5,12.0,1.0,10.0,0.0,No,possible_feed_clips\bee_0\bee_0_feed_0003.mp4,Saved
4,0,2026-04-27 20:15:06,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
5,0,2026-04-27 20:16:00,7723.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0005.mp4,Saved
6,0,2026-04-27 20:17:19,7802.5,14.0,0.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0006.mp4,Saved
7,0,2026-04-27 20:17:36,7819.5,14.0,0.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0007.mp4,Saved
8,0,2026-04-27 20:32:59,8742.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0008.mp4,Saved
9,0,2026-04-27 20:38:46,9089.5,15.0,2.0,10.0,2.0,No,possible_feed_clips\bee_0\bee_0_feed_0009.mp4,Saved
10,0,2026-04-27 20:39:00,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
11,0,2026-04-27 20:39:38,9141.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0011.mp4,Saved
12,0,2026-04-27 20:39:56,9159.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0012.mp4,Saved
13,0,2026-04-27 20:40:36,9199.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0013.mp4,Saved
14,0,2026-04-27 20:42:06,9289.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0014.mp4,Saved
15,0,2026-04-27 21:01:55,10478.5,14.0,0.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0015.mp4,Saved
16,0,2026-04-27 21:02:36,10519.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0016.mp4,Saved
17,0,2026-04-27 21:02:53,10536.5,14.0,3.0,10.0,0.0,No,possible_feed_clips\bee_0\bee_0_feed_0017.mp4,Saved
18,0,2026-04-27 21:03:36,10579.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0018.mp4,Saved
19,0,2026-04-27 21:04:58,10661.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0019.mp4,Saved
20,0,2026-04-27 21:06:17,10740.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0020.mp4,Saved
21,0,2026-04-27 21:06:38,10761.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0021.mp4,Saved
22,0,2026-04-27 21:06:54,10777.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0022.mp4,Saved
23,0,2026-04-27 21:07:28,10811.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0023.mp4,Saved
24,0,2026-04-27 21:07:47,10830.5,14.0,0.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0024.mp4,Saved
25,0,2026-04-27 21:08:05,10848.5,14.0,0.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0025.mp4,Saved
26,0,2026-04-27 21:08:53,10896.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0026.mp4,Saved
27,0,2026-04-27 21:09:39,10942.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0027.mp4,Saved
28,0,2026-04-27 21:09:54,10957.5,17.0,3.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0028.mp4,Saved
29,0,2026-04-27 21:10:17,10980.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0029.mp4,Saved
30,0,2026-04-27 21:10:34,10997.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0030.mp4,Saved
31,0,2026-04-27 21:10:50,11013.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0031.mp4,Saved
32,0,2026-04-27 21:11:19,11042.5,13.0,1.0,10.0,1.0,No,possible_feed_clips\bee_0\bee_0_feed_0032.mp4,Saved
33,0,2026-04-27 21:11:31,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
34,0,2026-04-27 21:11:46,11069.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0034.mp4,Saved
35,0,2026-04-27 21:13:25,11168.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0035.mp4,Saved
36,0,2026-04-27 21:13:39,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
37,0,2026-04-27 21:14:21,11224.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0037.mp4,Saved
