stimulus_id,start_frame,end_frame,start_time_s,end_time_s,duration_s,start_time_hms,end_time_hms,point_count,anchor_x,anchor_y,mean_x,mean_y,max_anchor_distance_px,target_center_x,target_center_y,target_radius_px,stationary_radius_px
S1,368619,368649,12287.300000,12288.300000,1.000000,03:24:47.300,03:24:48.300,7,1340.000,919.000,1338.143,919.000,9.487,1340.000,1030.000,123.000,10.000
S1,368674,368719,12289.133333,12290.633333,1.500000,03:24:49.133,03:24:50.633,9,1343.000,913.000,1343.222,913.444,9.899,1340.000,1030.000,123.000,10.000
S1,369084,369129,12302.800000,12304.300000,1.500000,03:25:02.800,03:25:04.300,10,1354.000,909.000,1351.800,910.600,7.616,1340.000,1030.000,123.000,10.000
S1,489024,489054,16300.800000,16301.800000,1.000000,04:31:40.800,04:31:41.800,7,1349.000,1009.000,1350.429,1010.714,7.071,1340.000,1030.000,123.000,10.000
S1,489244,489324,16308.133333,16310.800000,2.666667,04:31:48.133,04:31:50.800,17,1302.000,951.000,1303.176,953.706,10.000,1340.000,1030.000,123.000,10.000
S1,489409,489439,16313.633333,16314.633333,1.000000,04:31:53.633,04:31:54.633,7,1311.000,928.000,1309.714,926.286,5.099,1340.000,1030.000,123.000,10.000
S1,509899,509939,16996.633333,16997.966667,1.333333,04:43:16.633,04:43:17.967,9,1272.000,1034.000,1275.667,1032.889,7.280,1340.000,1030.000,123.000,10.000
S1,509994,510029,16999.800000,17000.966667,1.166667,04:43:19.800,04:43:20.967,8,1266.000,1045.000,1266.000,1043.750,9.487,1340.000,1030.000,123.000,10.000
S1,554264,554294,18475.466667,18476.466667,1.000000,05:07:55.467,05:07:56.467,5,1229.000,1039.000,1228.600,1042.400,9.220,1340.000,1030.000,123.000,10.000
S1,590239,590294,19674.633333,19676.466667,1.833333,05:27:54.633,05:27:56.467,12,1418.000,987.000,1418.000,986.167,8.246,1340.000,1030.000,123.000,10.000
S1,593404,593439,19780.133333,19781.300000,1.166667,05:29:40.133,05:29:41.300,8,1421.000,980.000,1419.750,978.125,8.062,1340.000,1030.000,123.000,10.000
S1,734459,734489,24481.966667,24482.966667,1.000000,06:48:01.967,06:48:02.967,6,1329.000,1069.000,1328.500,1067.500,5.385,1340.000,1030.000,123.000,10.000
S1,756864,756894,25228.800000,25229.800000,1.000000,07:00:28.800,07:00:29.800,3,1391.000,1047.000,1390.000,1046.667,2.828,1340.000,1030.000,123.000,10.000
S1,757099,757154,25236.633333,25238.466667,1.833333,07:00:36.633,07:00:38.467,4,1313.000,1011.000,1311.000,1011.250,5.831,1340.000,1030.000,123.000,10.000
S1,757219,757254,25240.633333,25241.800000,1.166667,07:00:40.633,07:00:41.800,8,1316.000,1010.000,1313.500,1010.000,9.055,1340.000,1030.000,123.000,10.000
S1,757339,757389,25244.633333,25246.300000,1.666667,07:00:44.633,07:00:46.300,8,1298.000,1002.000,1295.125,1003.750,8.944,1340.000,1030.000,123.000,10.000
S1,757409,757479,25246.966667,25249.300000,2.333333,07:00:46.967,07:00:49.300,14,1283.000,1003.000,1279.643,1001.571,7.616,1340.000,1030.000,123.000,10.000
